Data,Hora,Impressora,Falha
2026-02-03,15:08:45,calvo,spaghetti
2026-02-04,16:24:15,LabInd - Impressora 01,spaghetti
2026-02-04,16:27:39,LabInd - Impressora 01,spaghetti
2026-02-04,18:41:48,LabInd - Impressora 01,stringing
2026-02-04,18:49:42,LabInd - Impressora 01,spaghetti
